"","klasifikasi","score","text"
"47","Netral",0,"mantakok nya tokoa bnyak cashback nya"
"48","Netral",0,"mantaapp"
"49","Positif",1,"bagus"
"50","Netral",0," mik belanja online"
"51","Netral",0,"ok"
"52","Netral",0,"traktiran      i kecewaaa"
"53","Netral",0," "
"54","Netral",0,"semoga tokoa  maju  ekssinya     berkembang   memerjakan  orang terimakasih tokoa"
"55","Netral",0,"trimakasih"
"56","Netral",0,"muantab"
"57","Positif",3," gratis ongkir  biaya  mahal  gak make uma  o gratis ongkir "
"58","Netral",0,"bagussss"
"59","Netral",0,"aasi   membantu"
"60","Positif",1,"bagus"
"61","Negatif",-1,"markete lebay kebanyakan ngek customer dgn iming o  tuh o   batalkan system blacklist  mending shokemanamana"
"62","Netral",0,"aasi gak  taiii  verifikasi  th  nyusahin orang es   aasi gak "
"63","Positif",1,"good"
"64","Netral",0,"estimasinya  membagongkandan  komersilaerba beaya "
"65","Negatif",-3,"cs ga fast resembalian refund trllu  samskrnk ga masuk jg stiaat cs ngmng sudh  ritaskansruh cek limit trsmasuk kagayg  info tagihan yg masuk konsumen rugi ga  i tmit ga d kembalikanyg  cma  bayar tagihantlong  aiki cs nyajngn kebanyakan magabutsruh fast reskrjnya"
"66","Negatif",-1,"pengiriman lemot kendala  kendala mulu saan kalah  aebelah  sat set sat set"
"67","Netral",0,"  fitur  msh  camtangan orang  it"
"68","Positif",1," toko gratis ongkir  cashback gabisa  bersamaan beda bgt sma toko oren   tokjg  "
"69","Netral",0,"aasinya ngelack gak  nih"
"70","Positif",1,"biaya refund   d kembalikan"
"71","Negatif",-1,"pentes klah ama sebelah aktieter aja gk  "
"72","Netral",0,"nggak  mengkonfimasi kalo tnya udah "
"73","Netral",0,"biarkan bintang yg menilai"
"74","Netral",0,"sat set"
"75","Netral",0," bagis"
"76","Positif",1,"mantul"
"77","Positif",1,"good"
"78","Negatif",-2,"  bersaing dgn ecommerce sebelah agi    i  voucher doang"
"79","Netral",0,"moga benjam murah "
"80","Positif",1," cashback    i bersamaan gratis ongkir"
"81","Positif",1," bagus  iklannya     menganggu buka aasi  muncul iklan to   aasi muncul iklan to lg buka aasi toaja muncul iklan to wkwkwkwk nunggu beberaetik  x muncul solusinya log out to  login u  log out   yg jarang i uninstall  install ulang u  solusi ng jitu iklan toga muncul dimana  selamat mencoba"
"82","Positif",1,"bagus"
"83","Netral",0,""
"84","Positif",4,"alhamdulillah aasi     akses  aca layar  haraar   akses     beberatemitem   terbaca masukan murni berbahasa indonesia  mudah  mengerti terima kasih"
"85","Netral",0,"ok"
"86","Netral",0,"mantabbb"
"87","Positif",2,"bagus taolong kembalikan cashback belanja  free ongkirnya tanyarat kek   belanja  dabonus free ongkir  enak kek "
"88","Positif",1,"mantul"
"89","Positif",1,"mantap"
"90","Negatif",-1,"buruk"
"91","Positif",1," bagus"
"92","Negatif",-4,"dg berat hati  kali  sy  nge review aasi  store   alaman  buruk td  sy bayar tagihan nan sy o  dr aya trnyata  sy bayar    dibatalkan sistem     refund ribet  cukui kali  sy  si ijo  ga  deh"
"93","Negatif",-3,"   buruk tok tinggal nunggu ditinggalkan   bangkrut"
"94","Negatif",-1,"pelayanan costumer service nya burukkaryawanya cuman makan gaji buta   buruk d i telvon kagak   angkat"
"95","Netral",0,"mantah tokoa"
"96","Netral",0,"adakan o  bs ntn a dunia donk"
"97","Netral",0,"turunin  nnt naikkan lg kalo    sedia "
"98","Netral",0," membantu"
"99","Netral",0,"tolong o nya yg  rgi una   anjang"
"100","Netral",0,"kenaekarang kodeo g biaa  gabung  ongkir hehhhhhh"
"101","Netral",0,"fitur lacak t nya buruk kirim tanggal  status tnya gak  status t    ue samtanggal  "
"102","Netral",0,"manta"
"103","Netral",0," memuaskan"
"104","Netral",0,"aasi sipp"
"105","Positif",1,"mantab"
"106","Negatif",-4,"suka belanja  tokoa tauka kesal   buka aasi  kebanyakan iklan tokoa mengganggu    ng iklan  aasi   mengganggu tau   sebal sm tokoa gara iklan yg mengganggu  aasi     belanja online buka aasi tok selow aja woles woles"
"107","Netral",0,"mantabbah"
"108","Positif",1,"blanja    ribu bebas ongkit"
"109","Positif",1,"lumayan  gratisa"
"110","Positif",1,"tokoa  bagus "
"111","Negatif",-2," kecewa  android   beli liquid    ie   larangan  "
"112","Positif",1,"mantap"
"113","Positif",1," banget  nya"
"114","Negatif",-1,"  iklan mengganggu komunikasi"
"115","Positif",1,"potongan gratis ongkir  "
"116","Netral",0,"membantu"
"117","Netral",0,"langganan   "
"118","Netral",0,"baguss"
"119","Netral",0,"siiip"
"120","Positif",1," voucher gratis ongkir  diskoncashback   dii  bersamaan"
"121","Positif",1,"mantaat transaksi  tokoa i aman cete"
"122","Positif",1,"bagus"
"123","Positif",2," bebas ongkirnya  cashback   dii  bersamaan mohon  aiki sei yg   enak"
"124","Negatif",-1,"bukanya  bagus  h   memakan memori hmbah beratsuruh a  yo mending  hani aasi  transaksi beli token  diulit ue  gx berat gpp"
"125","Netral",0,"mantanyak diskonya"
"126","Netral",0,"kerenn toped"
"127","Netral",0,""
"128","Netral",0,"ok"
"129","Positif",1,"good"
"130","Netral",0,"aasinya  membantu"
"131","Negatif",-1,"asem beli a error  briva teteng bajingaaaan"
"132","Negatif",-1,"semoga sakitnya tokoa yg t  sembuhtokoa aasi yg harganya mahal  yg bikin murah  voucer grtis ongkirnya  gabung o laincashback ngek kalo lacs yg lamalah disalahin  ga tau a"
"133","Positif",1," menarik ok banget"
"134","Positif",2,"bagus banget"
"135","Positif",1,"ku lihat  tv tokoa  bebas ongkir  indonesia aeneran ya   download   a   indonesia   a  bebas ongkir  k tokoa  menganggaini indonesia "
"136","Netral",0,"gak  diskon a gan ongkir mahal sungguh yanan  buruk gak   belanj  tokoed mending  igshoa man temanbelanjny"
"137","Netral",0," tokoa   diskon haaja aasi nya"
"138","Positif",1," bagus"
"139","Negatif",-1,"barangnya sesui gambar   mengecewakan  harganya  terjangkau  inggin belanja trus ditokoa"
"140","Netral",0,"ok"
"141","Positif",1,"sistem gratis ongkirnya kenaerubah   ga asik  h cashback  gratis ongkir  enak     nya   ga asik toped"
"142","Positif",1," bagus  murah"
"143","Netral",0,"kabelanja  tokgratis ongkir barang ilang udah ngajuin refund taangnya kagak  "
"144","Positif",1,"aasi keren"
"145","Negatif",-1,"mantalikasi  taolong  tingkatkan ya"
"146","Positif",1,"mantab kaya mantan ama"
"147","Negatif",-1," susah "
"148","Netral",0," suka asiya"
"149","Netral",0,"ime jaringannya  kasian  yg koneksi inetnya gak kenceng hahha"
"150","Positif",1,"pengguna  udh dibayar ehhh  cancel otomatis  tok dancuk"
"151","Netral",0,"  n telitilah  alamat iriman ah   ikan metode ayarannya  akses termudah h  ceiriman   kekeliruan dalammenentukan han diatasalangkah baiknya dibatalkan "
"152","Netral",0,"mantais the best"
"153","Netral",0," "
"154","Netral",0,"  diskon vocer   maudi  error bedakan  una   yg "
"155","Positif",1,"      saksi  korban   toko a  tu dilindungi toko a     tidur mengikuti es solusi  toko a  akun toko tu  moderasi anenagar  menionsumen   dibebaskan  buktibukti akaotovideo       toko alebih fokus  buka ladan sho   ganggang cls  cuy kecewaberat"
"156","Negatif",-1," coba semoga  mengecewakan yah"
"157","Netral",0," susah ud gambar  beli barang gimana nih  kasih rate tanhoto  menggangu"
"158","Netral",0,"semoga    aya konsumen"
"159","Netral",0,"tokoaberiratingaasiini"
"160","Negatif",-2,"aasi     eli  ah   seller walaueli  salah aasi buruk  netral"
"161","Netral",0,"kenaidak bebas ongkir  mrnggunakan cashback   adil  sajabcashbacknya  nutuongkir   ah berbelanja    turan  tokoa    menyusul bukalaalias bangkrut   berkurang elinya"
"162","Netral",0,"oke"
"163","Negatif",-1,"diue harga ongkir   naek  lemot  auto uninstal thanks"
"164","Positif",1,"tokterbaik mskikdg  beberaoko  memuaskan   sesuai  dis  keterangan barangx"
"165","Positif",1," diue liat o tasih o gajelas  o tterangan  tersedia    t aktif"
"166","Negatif",-2,"parah cashback nya tii mengecewakan"
"167","Netral",0,"recommended online store"
"168","Netral",0,"terimakasih tokoa membantu kebutuhan belanja online  era digital  "
"169","Netral",0," memuaskan"
"170","Positif",1,"tokoa slalu terdepan"
"171","Positif",1,"bagusss   terdepan"
"172","Netral",0,"aasi gak bagusmau daftar   "
"173","Positif",1,"bagus"
"174","Positif",1,"belanja mudah  aman"
"175","Netral",0,"mantaaaaap"
"176","Positif",1,"mantap"
"177","Netral",0,""
"178","Netral",0,"baguuuiuiiiiiiiiiuuuuuuus"
"179","Positif",1,"mantap"
"180","Netral",0,"ok"
"181","Positif",1,"h ng h aasi  kalo kasih o ga ah bener invoice    klik terima  beda komn  gue yg disalain  aasi t o gratis ongkir ga  gabung o kode voucer   cashback taa masuk "
"182","Positif",1,"good"
"183","Negatif",-1," suka belanja  tokoa taakin kesini  ual yg balas chat cegiliran dibayar  dikejar  nom resinya   ual yg diulur  batal otomatis  batal otomatis nunggunya    ual  setuju  cancel order chat  laman  care toktalah  dires gak mihak eli   harga online    kyk offline"
"184","Positif",1," bagus"
"185","Negatif",-3,"toka h tukang bohong cashbak ngek aasi  ga ad amanahnya kam deh"
"186","Positif",1," en masuk daftar aja shusah skali biyar  blanja  tokted"
"187","Netral",0,"too"
"188","Negatif",-1,"  cod  free ongkir  tulisan doang"
"189","Negatif",-2,"sorting harga terendah  harga tertinggi  dibilang  berfungsi uk ad tersebar acakacakan menyebabkan bingung  bahaya salah beli"
"190","Positif",1,"bagus"
"191","Netral",0,"smoga lbih  lgi"
"192","Netral",0,"mudah  berbelanja"
"193","Positif",1,"mantap"
"194","Positif",1,"huu gak bagus  skrang voucher chasback  gratis ongkir    bersamaan  buruk jelek  toko a   direkomendasikan  toko a  mending shpi"
"195","Negatif",-2," kesini  busuk  tokoa kalo udh  voucher gratis ongkirnya voucher casbackdiskon udh ga biaa   lagii uninstal ajalah babi"
"196","Positif",1,"refund uang  langsung  sumber uangnya  ditahan  aa"
"197","Netral",0,"sangatbaik"
"198","Netral",0," i diskonnya"
"199","Positif",2,"ah tokoa nibarang  samhal uang   tranfer x elian ham juta taarag  adasi cekayak ad  taasih  i si cepat"
"200","Netral",0,"siiga tokoa"
"201","Netral",0,"ok"
"202","Netral",0,"aasi    han ayaran  lengkaaenggunaan filter cod  tamlalu dicek    sambawah cod  tersediatidak berfungsi"
"203","Positif",1,"bahasanya aja gratis ongkir   ngan ongkir  rb"
"204","Netral",0,"surrr joosssd"
"205","Netral",0,"simmudah"
"206","Negatif",-2," elian ama  diskon rb udah sesuai sk elian taetea dibatalkan otomatis belian harga rb  bayar ongkir rb via octomobile eh   elian dibatalkan otomatis lawak wkwkwk  refund uangnya ribet buang  ikhlasin aja  itung itung sumbang  tokoa woahahaha samsam  temen temen kalo  elian ama  tokoa  saranin bayarnya k goaja biar kalo   kayak gini   refundnya gak ribet"
"207","Netral",0,"later ga  setujui ku halagi bintang nya  u loug out  toko a tetaja  lazada  mantamit "
"208","Netral",0,"okay"
"209","Positif",1,"  susah utk berbelanja  tokkarna cashback  gratis ongkir   dinikmati  bersamaan    memilih utk berbelanja  lazada  tiktok shop"
"210","Netral",0,"ok"
"211","Netral",0,"tokoa ok"
"212","Negatif",-2,"cacad ribet udah buka toko  toko dituturena  ga login"
"213","Negatif",-3," tim tokoa tolong baca  ya  searching uk  wishlist   back  halaman uk  wishlist  direload ulang  please fix that"
"214","Negatif",-1,"tokoa emang manta  bgt ue jd berat aasinya"
"215","Netral",0,"alhamdulillaah  lolos tihan beternak ayam  intensif terimakasih"
"216","Netral",0,"manta  kali   beli susu  tokoa  toko gak res"
"217","Positif",1,"good"
"218","Netral",0," k tokoa  belain k elihari    t udah   temeli  udh chat ama tokoa  cuekin  jd uma chat ama tokoa care kayak ngorang gak  tulis ama gak  chat"
"219","Positif",1,"trusted banget deh"
"220","Positif",1,"gratis ongkir  cashback    i  sei "
"221","Netral",0,"toko a  dikirim   negeri kaga y"
"222","Positif",1,"mantap"
"223","Netral",0,"ok"
"224","Netral",0,""
"225","Negatif",-2,"aasi   ditambahin  no tlurirnya su kalo  kesalahan  contohnya salah kembalian  menghubunginya"
"226","Positif",1," aasi terbaik   walausedikit  lemot tani  banget thanks you for tokoa bagussss"
"227","Netral",0," membantu"
"228","Positif",1,"good"
"229","Positif",1,"bagus"
"230","Netral",0,"ah k aijau gegara aren mahal"
"231","Netral",0," kalo udah  voucher cashback gratis ongkirnya ga berlaku hadeehhh"
"232","Netral",0,"ok"
"233","Positif",1,"aasi nya bagus gk kaya lazada  "
"234","Netral",0,"not bad"
"235","Netral",0,"mantabs"
"236","Negatif",-5," eli setia totli  kecewa barang  utk thn ok  isi fom gw d  thn tete  d buka hrs via web  gunanya app aong gw  beli vaja ribet buka web     gunanya app  biar d permudah  yg anehnya  vape   ga  d buka hrs via web tp kalo alat bantu sex priawanita  loh aneh  kondom  heran tp  "
"237","Positif",3,"rasain lu susah nyari driver  kondisi hujan driver  yg off  aturan  elu yg  suspend time  driver  melewati orderan  gue  banget hujan hujanan  ambil orderan  ogah banget"
"238","Negatif",-1,"   aasi   ah mengecewakan"
"239","Positif",1,"adain gratis ongkir s dlu lgi"
"240","Positif",2,"good good"
"241","Netral",0,"bagoes "
"242","Netral",0," mantakoa"
"243","Netral",0,"aasi   membantu   berjualan  harga yg relatif standar"
"244","Positif",1,"terbaik"
"245","Positif",1,"mantap"
"246","Positif",1,"enak sih    daharga rp"
"247","Netral",0,"ok"
"248","Negatif",-2,"sy   sellu avlikasi toa setiaa gantian  ko susah msuk lemot"
"249","Netral",0,"  notifikasi iklan cahayaaaaa woooy"
"250","Netral",0," kode ayaran    barang    bayar"
"251","Netral",0," i tokoa    redengan sistem ayarannya   ual sistem sei   memuaskan tks"
"252","Netral",0,"mantakoa number one"
"253","Positif",1,"good"
"254","Netral",0,"yahh    i o unistall"
"255","Netral",0,"mantaabb"
"256","Positif",1,"aibet udah bayar  dicancel ama tokoa uang refund gabisa diambil cuih"
"257","Netral",0,"jos"
"258","Netral",0,"siip"
"259","Negatif",-5,"aasi terbodoh terdudul  dunia  donwload aodoh  woy ga berguna ga  beli a beli token listrik  ga  audul bodoh"
"260","Netral",0," ruweett"
"261","Netral",0,"hooddd"
"262","Positif",1,"gratis ongkir voucher   h"
"263","Negatif",-2," transaksi ok tocetidak ribet  keluhan cs sigamberi solusi knya  aasi "
"264","Positif",1,"ok mantap "
"265","Netral",0,"ayolah tambahin biar   voucher"
"266","Netral",0,"samsaat   teta "
"267","Negatif",-1,"ijin   kena wallet dana g  jadikan salah  alat byar  tokoa"
"268","Negatif",-1,"  esional  menangani  eli   han  jasa kurir   merugikan eli  mbahan biaya   transaksi tetaelayanan   buruk"
"269","Netral",0,"mantakoknya mah"
"270","Netral",0,"manta"
"271","Netral",0,"kenaah   order udah  bayar kenada notif   nanmu   batalkan  otomatis   mohon solusinya"
"272","Positif",1,"bagus"
"273","Netral",0,"mantappp"
"274","Netral",0,"terimakasih tokoa  gopay"
"275","Negatif",-3," mbujuk tok kalo o  ongkir nya bayar biar dacashback  transaksi selesai gak dacashback    iriman  invoice nya  keterangan   dacashback pas barang    klik selesai gak dacashback"
"276","Positif",1," bagus"
"277","Netral",0," haraelalu   o     menarik "
"278","Netral",0,"togoga masuk udah comn  disuruh nunggu x jam    saldonya  ga "
"279","Netral",0,"nice very fast and easy"
"280","Netral",0,"okr"
"281","Netral",0," ah bayar cc  toksumngeselin banget bayar ga telat taadi telat samiteln nyesel banget ditarik gabisa nyangkut ga  dananya ga masuk"
"282","Netral",0," membantu sy disaat membutuhkan "
"283","Netral",0,"makasih tokoa  saldo   membantu  beli barang "
"284","Netral",0,"terimakasih tokoa"
"285","Netral",0,"bosen ue mulu ni aasi     hapus"
"286","Positif",1,"keren"
"287","Netral",0," h  dikenakan biaya layanan  free ongkirtidak otomatis  wajib h  free ongkir  cash back"
"288","Netral",0," membantu "
"289","Netral",0,"ok"
"290","Positif",1,"mantap"
"291","Netral",0,"bayar i gotaudah  dagratis ongkir  kurir manacashback     kena biaya layanan   alasan aagi yg     bertahan  aoini"
"292","Positif",1,"  ubah  ratingnya ya tokoa kalo kebijakan bebas ongkir  d  bersamaan sm cashback    bintang as kayaknya"
"293","Netral",0,"oke"
"294","Positif",1,"trima kasih"
"295","Netral",0,"o nya biar   "
"296","Positif",2," dekalau kebijakannya  nggak  digabung  voucher cashback  gratis ongkir   ganti  markete  aja terima kasih loh   menemani"
"297","Netral",0," dakuasyikk"
"298","Netral",0,"simmudah  diskon menarik"
"299","Netral",0,"ok"
"300","Positif",1," i okurir gosend instan    cek o  i o biaya kngkir   salah  kurirnya diganti  si ceregular saran  o tlg jgn ditaman  o taukuomo yg  dii  kurir yg sdh dih    tercampur"
"301","Positif",1,"udh gk  gratis ongkir  voucher belanja jd mikir kalo mo belanja  tokpei"
"302","Positif",1,"tokoa membantu  belanja online bebas ongkir melaluin ongkir  ru"
"303","Netral",0,"ay love you"
"304","Netral",0,"  amongkir  cashback    satuin "
"305","Netral",0," udah  tambahkan sistem cod  bayar ditempat"
"306","Netral",0,"gratisnya ongkirnya murah "
"307","Positif",2,"bagus banget"
"308","Netral",0,"goood terbaikk"
"309","Netral",0,"aasi gak jelasn t  seminggu   samangan donlod aasi "
"310","Negatif",-1,"ribet"
"311","Netral",0,"teta bakar uang     "
"312","Netral",0,"aasi nya ko  error yalist menu nya   hilang   icontoh nya  daftar o"
"313","Positif",1," aq  dadana refund yaal trnsaksinya g brlanjutdan anehnya history transaksinya ilangterus gmn aq  melasedangkan  melaharus memilih transaksi yg bersangkutan  nominalnya terbilang keciltu    plis  kasih masukan"
"314","Positif",1,"bagus"
"315","Netral",0,"mantat"
"316","Negatif",-1,"market e teraman sih taejak gabung  gjek  eelit cashback ya"
"317","Negatif",-1,"kecewa"
"318","Positif",1,"keren"
"319","Netral",0," "
"320","Negatif",-1,"ayo semangat teknisi goto su cdiaiki sistem ayaran  gosy  cekout barang ga   metode ayaran   lem"
"321","Negatif",-1,"metode ayaran gojadi  bermasalah  ah oren aja  makasih"
"322","Netral",0,"kenaesanan    batalkan h kenakun   nonaktifkan jugabiarin     nya "
"323","Netral",0,"aasi belanja  membantu"
"324","Negatif",-1,"gw download  cmn  liat bts doang ya   belanja ko hyunk"
"325","Netral",0,"goodd"
"326","Positif",1,"   cashbackdiscount  gratis ongkir bersamaan   berh  tokoa  biaya layanan k ok  angkir  mahal ok  cari toko     kalo  taidak  gratong  cbdiskon bye"
"327","Negatif",-2,"woi kenaaya  gagal beli a klo  ovo agi  o dasar gak  download fitur  gagal mending lazada"
"328","Negatif",-1," beli keuan vaangat susah"
"329","Negatif",-1,"tokoa  mudah  hack  ku kejahatan yg bersifat menibaru   terkena  dimana akun toksaya diretas  saldo toksaya  transaksi elian a  juta    solusi  langkah yg kootif  k tokoa"
"330","Netral",0,"nice"
"331","Netral",0," coba  "
"332","Positif",2,"tokoa     kemunduran  ngek    suruh menggabung o yg   gk   gabunguma ngasih gratis ongkir cashbackatau diskon   eli memilih gratis ongkir yg   yg  sediakan jasa kirimjadi gk   i o yg  sediakan toped"
"333","Negatif",-1,"   buruk aja"
"334","Netral",0,"manta"
"335","Positif",2," biaya admin  setiaansaksi voucher gratis     bersamaan kualitas exsi tokoa  mengecewakan"
"336","Netral",0," menyulitkan nggan"
"337","Positif",1," t nansaya  kurir jt koq  diaimdigudangmana tanggung  tojangan  enak  mwrugikan kai angat au   berkembang tanita"
"338","Netral",0,"gak  gak  bayar cod    udh gak  auto unistal"
"339","Positif",1,"keren"
"340","Positif",1,"mantap"
"341","Negatif",-1," tocare  keluhan     menyelesaikan masalahhanya  temetidak  membantu customer parah"
"342","Netral",0,"saldo refun    buka"
"343","Netral",0,"aokoa   bagus kolom wishlist nya jelek    menghabarang yg  sukai    awalatas mohon iki  si dlu"
"344","Positif",1,"mantap"
"345","Negatif",-1,"  uninstall   install ulang  kenaadi    haini   reset ik teta  tolong saran nya k tok"
"346","Negatif",-1,"aasi toko a tukang ti aasi ak  bebas ongkir bohong "
"347","Netral",0,"yanan nya "
"348","Netral",0,"parahlah  "
"349","Positif",1,"    milih  gratis ongkir    voucher o kocak "
"350","Netral",0,"mantaaaksessss"
"351","Netral",0,"   jelek nih a contohnya voucher      dii bersamaan ongkirnya mahal  jarang ngasih gratis ongkir  biaya nganan aasi   ga     kurangnya dibandingkan  yg "
"352","Positif",1,"sukses  tokoa"
"353","Netral",0,"tanks toko a"
"354","Netral",0,"mantulini semoga  o  menguntungkan "
"355","Netral",0,"okehhh"
"356","Netral",0,"jkt"
"357","Negatif",-1,"buruk"
"358","Netral",0,"kecewa ndak  gratis ongkir "
"359","Positif",1,"dah gk semangat belanja disinibanyak syarat  kebijakanmasalah ongkir  voucher dah gk asikalternatif yaa lazada  yg rame"
"360","Netral",0,"beli t data  aasi   "
"361","Negatif",-1,"      mandaftar   maaf kesalahan server   coba kain     trus "
"362","Positif",1,"mantap"
"363","Positif",1,"mantap"
"364","Netral",0,"oke la"
"365","Positif",1,"aasi nya i love you banget "
"366","Positif",1,"jialan   untung "
"367","Netral",0,"mantalikasi tokoa gak abal    kean  nggan"
"368","Positif",1," bagus"
"369","Negatif",-1,"terimakasih ya kk sdh membantu asalahan   doble transfer resnya cesekali"
"370","Netral",0,"mantapp"
"371","Netral",0,"kereenn tokped"
"372","Positif",2," rekomended   ama kali cobacoba n barang  tokoa tanggal  nov malam  kaget   sambarangnya  nov   gratis ongkir  aja sih senang aja butuh   aja udah samuga  nya   exs"
"373","Negatif",-3,"please  tokoa o free ongkir  cashback   bersamaankarena  tuh membantu banget  customerbanyak lho  comn bilang  h salah  aja  free ongkir  cashback ga     bersamaankalo kaya gini  customer    kabur ga  belanja   tokoaoya   adain  fitur n telur  telurnya cashback koin gokarena  membantu bgt  nambah koin gopay"
"374","Positif",2,"es transaksi nya ceenukaran kode voucher   kendalaterima kasih tokoa"
"375","Positif",1,"    login  eror mulu tolong  cedi aiki  adakan  gratis ongkirr"
"376","Positif",1,"mantap"
"377","Positif",1,"bagus"
"378","Netral",0,"macan"
"379","Positif",1,"bagus"
"380","Positif",1,"mantap"
"381","Netral",0,"ok"
"382","Positif",3,"toko amanah barang sesuai deskriknya tokoa mantap"
"383","Negatif",-1,"mengecewakan  cash back  free ongkir  dibedakan  dl sy agum aasi "
"384","Positif",1,"terbaik dah"
"385","Positif",1," membantu ok banget"
"386","Netral",0," "
"387","Netral",0," membantu"
"388","Positif",1,"mantap"
"389","Netral",0,"tolong  k tokokembang kn lg msalah cs  kurir ny"
"390","Netral",0,"beli a susah kali    sukses dah limitlucu "
"391","Netral",0,"ok"
"392","Positif",3,"kembalikan fitur gabungan gratis ongkir  cashback   edit turunin bintang"
"393","Netral",0," "
"394","Positif",3,"keren banget  keren   tokoa  vitur video  osi affiliate dijamin   rame tokoa semoga terealisasi"
"395","Netral",0,"ok"
"396","Positif",1,"o mantab"
"397","Netral",0,"terimakasih tokoa  traktiran belanja  runya"
"398","Positif",2,"bagus iriman  ing  harga sesuai dg barang yg  ukan"
"399","Positif",1,"good"
"400","Netral",0,"bintang   aasi     akun  tdk   muncul    kesalahan  serverulangi beberaaat    udah diulang ulang  gak bisasam"
"401","Positif",4,"  fitur top up dana transfer  go  bank  lancar kalo   fitur tarik tunai via mini market"
"402","Netral",0,"oke"
"403","Netral",0,"  aruan"
"404","Netral",0,"kurir gak tangung  barang gak samtaransaksi berhasil dititi  tetangga taanonfirmasi gak tau tetangga   tokdan anteraja gak bertanggungjawab  menyesal bayar duluan  go   udah dibayar  sembarangan  kecewa  bertahuntahun belanja online  kali  belanja  uang diterima  barang    gak   pakek tokopedia"
"405","Positif",3,"summakin kesini tokoa  mahal ongkir nya   ribu   kaya harga barang maaf  kasih bintang  mohon  aiki "
"406","Positif",1,"lengkan sesuai kebutuhanmantul"
"407","Netral",0,"beralih  aebelah gak seru "
"408","Positif",1,"hello sir  memai saran tolong   ayarannya  aasi dana terimakasih   tolong resya"
"409","Netral",0,"  ue   ue  maksudnya aminta  haaya"
"410","Netral",0,"  "
"411","Negatif",-1,"pengembalian dana makan  sangaaaatttt  gimana  org tetiba membatalkan nan  karenakan   saudara  org tua jatuh sakit  membutuhkan biaya mengecewakan"
"412","Netral",0,""
"413","Positif",1,"  ganti bintang   o gratis ongkir   gabung  o cashback sei "
"414","Positif",2,"fitur cod kenaak sei  biaya transaksi   aasi gak   tulis dirincian  hjadi gak   hdi box tan"
"415","Netral",0,""
"416","Netral",0,"tosuksez truz"
